;value;freq;type
1;Elefant;36;object
2;Fahrrad;22;object
3;springender;21;feature
4;Huhn;19;object
5;ein;18;feature
6;Ente;18;object
7;Haare;18;object
8;Vogel;17;object
9;Essen;15;object
10;Affe;14;object
11;Haarbürste;13;object
12;Trommel;13;object
13;Frosch;11;object
14;hüpfender;10;feature
15;Katze;10;object
16;laufender;9;feature
17;rennender;8;feature
18;Bär;7;object
19;essen;7;feature
20;große;7;feature
21;großer;7;feature
22;Hase;7;object
23;kämmen;7;feature
24;Känguru;7;object
25;Brot;6;object
26;Hammer;6;object
27;Kamm;6;object
28;kleine;6;feature
29;Superman;6;object
30;Ball;5;object
31;Buffet;5;object
32;fliegender;5;feature
33;Gabel;5;object
34;großes;5;feature
35;Haargel;5;object
36;Person;5;object
37;schnelle;5;feature
38;springende;5;feature
39;Auto;4;object
40;Axt;4;object
41;Bürste;4;object
42;die;4;irrelevant
43;eine;4;irrelevant
44;essender;4;feature
45;glückliches;4;feature
46;gute;4;feature
47;Haarkamm;4;object
48;Hund;4;object
49;laute;4;object
50;Maus;4;object
51;Mensch;4;object
52;Pferd;4;object
53;schöne;4;feature
54;sich;4;irrelevant
55;dicker;3;feature
56;Elephant;3;object
57;fahren;3;feature
58;Fahrradfahrer;3;object
59;Frau;3;object
60;fröhlicher;3;feature
61;für;3;irrelevant
62;gackerndes;3;feature
63;geschnittenes;3;feature
64;Großes;3;feature
65;gutes;3;feature
66;hase;3;object
67;kämmende;3;feature
68;Kind;3;object
69;lange;3;feature
70;laufende;3;feature
71;Läufer;3;object
72;Lob;3;object
73;Mittagessen;3;object
74;Radfahrer;3;object
75;schneller;3;feature
76;spielen;3;feature
77;Storch;3;object
78;Tier;3;object
79;Tür;3;object
80;Baby;2;object
81;Ballerina;2;object
82;blinkende;2;feature
83;das;2;irrelevant
84;der;2;irrelevant
85;dicke;2;feature
86;drehender;2;feature
87;etwas;2;object
88;Fisch;2;object
89;Flamingo;2;object
90;frisieren;2;feature
91;gemacht;2;feature
92;geschlossener;2;feature
93;Grashüpfer;2;object
94;gut;2;feature
95;Gutes;2;feature
96;hacken;2;feature
97;Haus;2;object
98;Holz;2;object
99;Holzfäller;2;object
100;jemand;2;object
101;junger;2;feature
102;Käfer;2;object
103;kleines;2;feature
104;kratzender;2;feature
105;Kreis;2;object
106;langes;2;feature
107;liegendes;2;feature
108;Löffel;2;object
109;mit;2;irrelevant
110;motiviert;2;feature
111;Motorrad;2;object
112;müdes;2;feature
113;offenes;2;feature
114;Papier;2;object
115;Pfau;2;object
116;Rasierer;2;object
117;Rennender;2;feature
118;schlagen;2;feature
119;schleckendes;2;feature
120;Schmetterling;2;object
121;Schnack;2;object
122;Schnick;2;object
123;Skispringer;2;object
124;Spiegel;2;object
125;Springender;2;feature
126;Supermann;2;object
127;Suppe;2;object
128;Taucher;2;object
129;tolles;2;feature
130;Tor;2;object
131;verstecken;2;feature
132;vogel;2;object
133;Würfel;2;object
134;würfeln;2;feature
135;wütender;2;feature
136;Zehn;2;feature
137;zerschlagen;2;feature
138;10;1;feature
139;30;1;feature
140;abhebendes;1;feature
141;Ahnung;1;object
142;Airbag;1;object
143;an;1;irrelevant
144;An;1;irrelevant
145;angestrengter;1;feature
146;ankommender;1;feature
147;Apfel;1;object
148;Arbeiter;1;object
149;ärgerndes;1;feature
150;art;1;irrelevant
151;aufgegangener;1;feature
152;aufgehende;1;feature
153;aufgeschnittenes;1;feature
154;auftragen;1;feature
155;ausweichender;1;feature
156;auto;1;object
157;Autofenster;1;object
158;bär;1;object
159;Baum;1;object
160;beeilen;1;feature
161;Bein;1;object
162;Beine;1;object
163;Beinübung;1;object
164;blind;1;feature
165;Bonbon;1;object
166;böser;1;feature
167;Brei;1;object
168;Brieftaube;1;object
169;bürsten;1;feature
170;da;1;irrelevant
171;daumenhoch;1;object
172;delphin;1;object
173;den;1;irrelevant
174;Dicker;1;feature
175;Dinosaurier;1;object
176;Dreieckiger;1;feature
177;dringliches;1;feature
178;Ein;1;irrelevant
179;einem;1;irrelevant
180;eitle;1;feature
181;elefant;1;object
182;Elefantensprung;1;object
183;Elegante;1;feature
184;Elephanten;1;object
185;Enter;1;object
186;enthusiastischer;1;feature
187;Erfolgreicher;1;feature
188;Erschöpfte;1;feature
189;ertrinkende;1;feature
190;erwachsenes;1;feature
191;essendes;1;feature
192;Essenstopf;1;object
193;Esser;1;object
194;fahrendes;1;feature
195;Fahrradfahren;1;object
196;fast;1;feature
197;Fastfood;1;object
198;Finger;1;object
199;fliegen;1;feature
200;fliegende;1;feature
201;Flucht;1;object
202;Flugzeug;1;object
203;Flummiball;1;object
204;food;1;object
205;Frage;1;object
206;fressendes;1;feature
207;Friseur;1;object
208;Friseurbesuch;1;object
209;Frisur;1;object
210;Frohes;1;feature
211;Fröhlicher;1;feature
212;fröhliches;1;feature
213;frosch;1;object
214;Füße;1;object
215;Futtertrog;1;object
216;Gans;1;object
217;Gast;1;object
218;Gastgeschenk;1;object
219;gebaut;1;feature
220;gebücktes;1;feature
221;gefundener;1;feature
222;gegessene;1;feature
223;gehen;1;feature
224;gekämmte;1;feature
225;Gel;1;object
226;gelangweiltes;1;feature
227;gemolkene;1;feature
228;geputzter;1;feature
229;Gericht;1;object
230;Geschenk;1;object
231;getunktes;1;feature
232;gewinnen;1;feature
233;glatte;1;feature
234;Glocke;1;object
235;Gnom;1;object
236;Gradhüpfer;1;object
237;Großer;1;feature
238;Gruppe;1;object
239;Guter;1;feature
240;haare;1;object
241;Haarkämmende;1;object
242;hackende;1;feature
243;Hahn;1;object
244;hammer;1;object
245;Hand;1;object
246;Hauen;1;feature
247;Hefeteig;1;object
248;herz;1;object
249;Herz;1;object
250;Höhle;1;object
251;Holzbrett;1;object
252;Holzhacker;1;object
253;huhn;1;object
254;Hühner;1;object
255;Hunger;1;object
256;Hungriger;1;feature
257;Hüpfball;1;object
258;hüpfen;1;feature
259;hüpfendes;1;feature
260;isst;1;feature
261;Jackpot;1;object
262;Jogger;1;object
263;Juck;1;object
264;Junge;1;object
265;Junger;1;feature
266;Junges;1;object
267;Kämme;1;object
268;Kämmen;1;feature
269;kämmender;1;feature
270;kämmendes;1;feature
271;Kängaroo;1;object
272;Kangeru;1;object
273;Kaninchen;1;object
274;kann;1;feature
275;Kappe;1;object
276;Karotte;1;object
277;Keimen;1;object
278;keine;1;feature
279;Klanghölzer;1;object
280;klopfen;1;feature
281;klopfender;1;feature
282;klopfendes;1;feature
283;Kokosnussaufsprengender;1;object
284;Kommen;1;feature
285;Kopf;1;object
286;Kost;1;object
287;Krabbeln;1;feature
288;krähender;1;feature
289;krokodil;1;object
290;Krokodil;1;object
291;Kröte;1;object
292;Kugeln;1;feature
293;Kuh;1;object
294;Kühlschrank;1;object
295;Küken;1;object
296;kurzes;1;feature
297;landender;1;feature
298;Lange;1;feature
299;Langes;1;feature
300;langsamer;1;feature
301;Laufender;1;feature
302;laufendes;1;feature
303;läuft;1;feature
304;leeres;1;feature
305;leergegessene;1;feature
306;Lehrer;1;object
307;Liegefahrrad;1;object
308;Löwenbaby;1;object
309;Luftballon;1;object
310;Mann;1;object
311;Maschine;1;object
312;Matrose;1;object
313;matschige;1;feature
314;mensch;1;object
315;mittelalter;1;object
316;Model;1;object
317;Modenschau;1;object
318;Mönch;1;object
319;Motiviert;1;feature
320;Motorradfahrer;1;object
321;munteres;1;feature
322;Musikschellen;1;object
323;Nagel;1;object
324;neugieriger;1;feature
325;nicht;1;feature
326;Nussknacker;1;object
327;Obst;1;object
328;Papagei;1;object
329;Passagier;1;object
330;Pauken;1;object
331;Personen;1;object
332;pflücken;1;feature
333;Pinke;1;object
334;Pizza;1;object
335;probe;1;object
336;probieren;1;feature
337;quakende;1;feature
338;quengelndes;1;feature
339;rasieren;1;feature
340;Raubtier;1;object
341;reiz;1;object
342;rennende;1;feature
343;Richter;1;object
344;Riese;1;object
345;Rochen;1;object
346;rote;1;feature
347;runde;1;feature
348;Runde;1;object
349;rundes;1;feature
350;scharfe;1;feature
351;Schatz;1;object
352;Scheibenwerfer;1;object
353;Schellen;1;object
354;Schere;1;object
355;schlag;1;feature
356;Schlagzeug;1;object
357;Schlagzeugspielen;1;object
358;Schlange;1;object
359;schlechtgelaunter;1;feature
360;schnatternde;1;feature
361;schnaubendes;1;feature
362;Schneemann;1;object
