;condition;id;stimulus_nc;responses;repetitions;object_str;feature_str;;object_se;feature_se
1;hol;VP01;ball_jump;"Springeder Hase""}";2;irrel;rel;;irrel;rel
2;seq;VP02;ball_jump;"aufgehende Sonne""}";2;irrel;irrel;;irrel;irrel
3;hol;VP03;ball_jump;"Kaninchen""}";3;irrel;ne;;irrel;ne
4;seq;VP04;ball_jump;"Trampolin""}";7;irrel;ne;;irrel;ne
5;hol;VP05;ball_jump;"Grashüpfer ""}";1;irrel;ne;;irrel;rel
6;seq;VP06;ball_jump;"Springreifen""}";1;irrel;ne;;irrel;rel
7;hol;VP07;ball_jump;"hüpfender Ball""}";1;rel;rel;;rel;rel
8;seq;VP08;ball_jump;"großes herz""}";3;irrel;irrel;;irrel;irrel
9;hol;VP09;ball_jump;"Gradhüpfer""}";3;irrel;ne;;irrel;rel
10;seq;VP10;ball_jump;"Ball""}";2;rel;ne;;rel;ne
11;hol;VP11;ball_jump;"Seepferd, delphin""}";7;irrel;ne;;irrel;ne
12;seq;VP12;ball_jump;"springender Ball""}";2;rel;rel;;rel;rel
13;hol;VP13;ball_jump;"hüpfen""}";2;ne;rel;;ne;rel
14;seq;VP14;ball_jump;"Hüpfball""}";1;rel;ne;;rel;rel
15;hol;VP15;ball_jump;"wütender Gnom""}";2;irrel;irrel;;irrel;irrel
16;seq;VP16;ball_jump;"Dreieckiger Springkäfer""}";1;irrel;irrel;;irrel;rel
17;hol;VP17;ball_jump;"hüpfender Ball""}";1;rel;rel;;rel;rel
18;seq;VP18;ball_jump;"Luftballon""}";1;rel;ne;;rel;irrel
19;hol;VP19;ball_jump;"Flummiball""}";2;rel;ne;;rel;rel
20;seq;VP20;ball_jump;"schönes Geschenk""}";2;irrel;irrel;;irrel;irrel
21;seq;VP01;bike_big;"Großes Fahrrad""}";1;rel;rel;;rel;rel
22;hol;VP02;bike_big;"matschige Straße""}";1;irrel;irrel;;irrel;irrel
23;seq;VP03;bike_big;"Airbag""}";8;irrel;ne;;irrel;ne
24;hol;VP04;bike_big;"Radfahrer""}";1;rel;ne;;rel;ne
25;seq;VP05;bike_big;"fahrendes Auto""}";3;irrel;irrel;;irrel;irrel
26;hol;VP06;bike_big;"Fahrradfahren""}";1;rel;irrel;;rel;irrel
27;seq;VP07;bike_big;"großes Auto""}";1;irrel;rel;;irrel;rel
28;hol;VP08;bike_big;"Fahrradfahrer""}";2;rel;irrel;;rel;irrel
29;seq;VP09;bike_big;"großer Storch""}";2;irrel;rel;;irrel;rel
30;hol;VP10;bike_big;"Fahrrad""}";1;rel;ne;;rel;ne
31;seq;VP11;bike_big;"bär, Huhn ""}";3;irrel;ne;;irrel;ne
32;hol;VP12;bike_big;"Fahrrad fahren""}";2;rel;irrel;;rel;irrel
33;seq;VP13;bike_big;"Motorrad""}";2;rel;ne;;rel;ne
34;hol;VP14;bike_big;"Fahrrad""}";1;rel;ne;;rel;ne
35;seq;VP15;bike_big;"auto""}";2;irrel;ne;;irrel;ne
36;hol;VP16;bike_big;"Ein mittelalter Motorradfahrer""}";2;rel;irrel;;rel;irrel
37;seq;VP17;bike_big;"großes Auto""}";1;irrel;rel;;irrel;rel
38;hol;VP18;bike_big;"keine Ahnung""}";3;ne;ne;;ne;ne
39;seq;VP19;bike_big;"Auto""}";3;irrel;ne;;irrel;ne
40;hol;VP20;bike_big;"angestrengter Radfahrer""}";2;rel;irrel;;rel;irrel
41;hol;VP01;bike_many;"Fahrrad""}";3;rel;ne;;rel;ne
42;seq;VP02;bike_many;"offenes Tor""}";1;irrel;irrel;;irrel;irrel
43;hol;VP03;bike_many;"springender Hase""}";3;irrel;irrel;;irrel;irrel
44;seq;VP04;bike_many;"Tor""}";7;irrel;ne;;irrel;ne
45;hol;VP05;bike_many;"schnaubendes Pferd ""}";4;irrel;irrel;;irrel;irrel
46;seq;VP06;bike_many;"Vogelstrauß""}";3;irrel;ne;;irrel;ne
47;hol;VP07;bike_many;"schleckendes Känguru""}";1;irrel;irrel;;irrel;irrel
48;seq;VP08;bike_many;"ein Riese""}";5;irrel;ne;;irrel;ne
49;hol;VP09;bike_many;"Fahrrad""}";3;rel;ne;;rel;ne
50;seq;VP10;bike_many;"Torbogen""}";7;irrel;ne;;irrel;ne
51;hol;VP11;bike_many;"Fahrrad fahren""}";5;rel;irrel;;rel;irrel
52;seq;VP12;bike_many;"runde Höhle""}";1;irrel;irrel;;irrel;irrel
53;hol;VP13;bike_many;"Fahrrad""}";2;rel;ne;;rel;ne
54;seq;VP14;bike_many;"großes Fahrrad""}";1;rel;irrel;;rel;irrel
55;hol;VP15;bike_many;"Radfahrer""}";2;rel;ne;;rel;ne
56;seq;VP16;bike_many;"Elegante Tänzerin""}";2;irrel;irrel;;irrel;irrel
57;hol;VP17;bike_many;"schleckendes Känguru""}";1;irrel;irrel;;irrel;irrel
58;seq;VP18;bike_many;"ein Apfel""}";2;irrel;ne;;irrel;ne
59;hol;VP19;bike_many;"ausweichender Läufer""}";6;irrel;irrel;;irrel;irrel
60;seq;VP20;bike_many;"stolzer Pfau""}";5;irrel;irrel;;irrel;irrel
61;seq;VP01;bike_one;"Gutes Fahrrad""}";3;rel;irrel;;rel;irrel
62;hol;VP02;bike_one;"startendes Motorrad""}";2;rel;irrel;;rel;irrel
63;seq;VP03;bike_one;"Fahrrad""}";4;rel;ne;;rel;ne
64;hol;VP04;bike_one;"Elefant""}";19;irrel;ne;;irrel;ne
65;seq;VP05;bike_one;"Fahrradfahrer""}";1;rel;ne;;rel;ne
66;hol;VP06;bike_one;"Stufe steigen""}";1;irrel;irrel;;irrel;irrel
67;seq;VP07;bike_one;"tolles Fahrrad""}";1;rel;irrel;;rel;irrel
68;hol;VP08;bike_one;"stampfen""}";3;ne;irrel;;ne;irrel
69;seq;VP09;bike_one;"Fahrrad fahren""}";2;rel;irrel;;rel;irrel
70;hol;VP10;bike_one;"Storch""}";1;irrel;ne;;irrel;ne
71;seq;VP11;bike_one;"Bein training, motiviert ""}";1;irrel;irrel;;irrel;irrel
72;hol;VP12;bike_one;"Fahrrad""}";4;rel;ne;;rel;ne
73;seq;VP13;bike_one;"Fahrrad""}";2;rel;ne;;rel;ne
74;hol;VP14;bike_one;"kurzes Fahrrad""}";5;rel;irrel;;rel;irrel
75;seq;VP15;bike_one;"Sport, gut gemacht ""}";2;irrel;irrel;;irrel;irrel
76;hol;VP16;bike_one;"kleine Treppenstufe""}";4;irrel;irrel;;irrel;irrel
77;seq;VP17;bike_one;"tolles Fahrrad""}";1;rel;irrel;;rel;irrel
78;hol;VP18;bike_one;"Fahrrad""}";2;rel;ne;;rel;ne
79;seq;VP19;bike_one;"Fahrradfahrer""}";3;rel;ne;;rel;ne
80;hol;VP20;bike_one;"stehengebliebenes Pferd""}";13;irrel;irrel;;irrel;irrel
81;hol;VP01;bike_small;"Füße strampeln""}";4;irrel;irrel;;irrel;irrel
82;seq;VP02;bike_small;"ankommender Läufer""}";2;irrel;irrel;;irrel;irrel
83;hol;VP03;bike_small;"Liegefahrrad""}";2;rel;ne;;rel;irrel
84;seq;VP04;bike_small;"Jogger""}";3;irrel;ne;;irrel;ne
85;hol;VP05;bike_small;"Fahrrad""}";3;rel;ne;;rel;ne
86;seq;VP06;bike_small;"Flucht und Verstecken""}";2;irrel;ne;;irrel;ne
87;hol;VP07;bike_small;"liegendes Fahrrad""}";1;rel;irrel;;rel;irrel
88;seq;VP08;bike_small;"Läufer""}";7;irrel;ne;;irrel;ne
89;hol;VP09;bike_small;"strampelnder Käfer""}";2;irrel;irrel;;irrel;irrel
90;seq;VP10;bike_small;"Dinosaurier""}";1;irrel;ne;;irrel;ne
91;hol;VP11;bike_small;"Beinübung ""}";3;irrel;ne;;irrel;ne
92;seq;VP12;bike_small;"laufender Mensch""}";2;irrel;irrel;;irrel;irrel
93;hol;VP13;bike_small;"Treten""}";2;irrel;ne;;rel;ne
94;seq;VP14;bike_small;"laufender Hund ""}";3;irrel;irrel;;irrel;irrel
95;hol;VP15;bike_small;"strampelndes Löwenbaby""}";3;irrel;irrel;;irrel;irrel
96;seq;VP16;bike_small;"laufender Mönch ""}";2;irrel;irrel;;irrel;irrel
97;hol;VP17;bike_small;"liegendes Fahrrad""}";1;rel;irrel;;rel;irrel
98;seq;VP18;bike_small;"ein Hund""}";2;irrel;ne;;irrel;ne
99;hol;VP19;bike_small;"umgefallener Käfer""}";2;irrel;irrel;;irrel;irrel
100;seq;VP20;bike_small;"gefundener Schatz""}";7;irrel;irrel;;irrel;irrel
101;seq;VP01;cat_jump;"springende Katze""}";2;rel;rel;;rel;rel
102;hol;VP02;cat_jump;"fliegender Supermann""}";2;irrel;rel;;irrel;rel
103;seq;VP03;cat_jump;"springende Katze""}";2;rel;rel;;rel;rel
104;hol;VP04;cat_jump;"Superman""}";1;irrel;ne;;irrel;ne
105;seq;VP05;cat_jump;"Katze ""}";1;rel;ne;;rel;ne
106;hol;VP06;cat_jump;"Superman""}";1;irrel;ne;;irrel;ne
107;seq;VP07;cat_jump;"fröhlicher Schmetterling""}";1;irrel;irrel;;irrel;irrel
108;hol;VP08;cat_jump;"vogel""}";2;irrel;ne;;irrel;ne
109;seq;VP09;cat_jump;"springende Katze""}";3;rel;rel;;rel;rel
110;hol;VP10;cat_jump;"Superman""}";2;irrel;ne;;irrel;ne
111;seq;VP11;cat_jump;"blind spräche""}";5;irrel;irrel;;irrel;irrel
112;hol;VP12;cat_jump;"Ballerina""}";1;irrel;ne;;irrel;ne
113;seq;VP13;cat_jump;"hüpfendes Haus""}";3;irrel;rel;;irrel;rel
114;hol;VP14;cat_jump;"fliegender Flamingo""}";1;irrel;rel;;irrel;rel
115;seq;VP15;cat_jump;"fröhlicher Mensch""}";2;irrel;irrel;;irrel;irrel
116;hol;VP16;cat_jump;"Skispringer Elefant""}";1;irrel;rel;;irrel;rel
117;seq;VP17;cat_jump;"fröhlicher Schmetterling""}";1;irrel;irrel;;irrel;irrel
118;hol;VP18;cat_jump;"Fisch""}";1;irrel;ne;;irrel;ne
119;seq;VP19;cat_jump;"springende Katze""}";2;rel;rel;;rel;rel
120;hol;VP20;cat_jump;"langsamer Rochen""}";10;irrel;irrel;;irrel;irrel
121;hol;VP01;cat_run;"hase""}";3;irrel;ne;;irrel;ne
122;seq;VP02;cat_run;"rennender Frosch""}";1;irrel;rel;;irrel;rel
123;hol;VP03;cat_run;"hüpfender Hase""}";1;irrel;irrel;;irrel;irrel
124;seq;VP04;cat_run;"laufender Hund""}";7;rel;rel;;rel;rel
125;hol;VP05;cat_run;"Tier""}";2;rel;ne;;rel;ne
126;seq;VP06;cat_run;"Affe""}";1;irrel;ne;;irrel;ne
127;hol;VP07;cat_run;"schnelle Maus""}";4;rel;rel;;rel;rel
128;seq;VP08;cat_run;"laufender Frosch""}";4;irrel;rel;;irrel;rel
129;hol;VP09;cat_run;"Frosch""}";1;irrel;ne;;irrel;ne
130;seq;VP10;cat_run;"Sportler""}";1;irrel;ne;;irrel;ne
131;hol;VP11;cat_run;"Krabbeln ""}";1;ne;irrel;;ne;irrel
132;seq;VP12;cat_run;"Pferd""}";2;irrel;ne;;irrel;ne
133;hol;VP13;cat_run;"Frosch""}";2;irrel;ne;;irrel;ne
134;seq;VP14;cat_run;"böser Frosch""}";2;irrel;irrel;;irrel;irrel
135;hol;VP15;cat_run;"Wildkatze""}";1;irrel;ne;;rel;irrel
136;seq;VP16;cat_run;"junger Affe""}";1;irrel;irrel;;irrel;irrel
137;hol;VP17;cat_run;"schnelle Maus""}";4;rel;rel;;rel;rel
138;seq;VP18;cat_run;"eine Katze""}";2;rel;ne;;rel;ne
139;hol;VP19;cat_run;"Hund""}";3;irrel;ne;;irrel;ne
140;seq;VP20;cat_run;"trauriges Pferd""}";4;irrel;irrel;;irrel;irrel
141;seq;VP01;comb_big;"Großes Kommen ""}";1;rel;rel;;rel;rel
142;hol;VP02;comb_big;"glatte Haare""}";1;irrel;irrel;;irrel;irrel
143;seq;VP03;comb_big;"große Bürste""}";1;rel;rel;;rel;rel
144;hol;VP04;comb_big;"Friseur""}";1;irrel;ne;;irrel;ne
145;seq;VP05;comb_big;"kämmende Person ""}";11;irrel;irrel;;rel;irrel
